issue_key,title,description,priority
CRIT-001,System crash on production server,The production server crashes intermittently causing complete service outage. Critical business operations are affected. Need immediate investigation and fix.,Critical
CRIT-002,Database connection pool exhausted,Application cannot connect to database after 10 minutes of uptime. All users get connection errors. This is a critical production issue.,Critical
CRIT-003,Security vulnerability in authentication,SQL injection vulnerability discovered in login form. Immediate patch required to prevent unauthorized access.,Critical
CRIT-004,Payment processing failure,All credit card transactions are failing. Revenue impact is significant. Need hotfix deployment immediately.,Critical
CRIT-005,Data loss during backup,Scheduled backup corrupted database files. Critical customer data may be lost. Need recovery plan ASAP.,Critical
CRIT-006,API returning 500 errors,REST API endpoints returning 500 Internal Server Error for all requests. Mobile app is completely non-functional.,Critical
CRIT-007,Memory leak causing OOM crashes,Application memory usage grows unbounded until JVM crashes with OutOfMemoryError. Service restarts every few hours.,Critical
CRIT-008,SSL certificate expired,Production SSL certificate expired. Website showing security warnings to all users. Traffic dropping rapidly.,Critical
CRIT-009,Race condition in transaction processing,Double charges being processed due to race condition. Multiple customer complaints received. Need urgent fix.,Critical
CRIT-010,Critical data corruption,Database records being overwritten with null values. Customer orders disappearing from system. Emergency fix needed.,Critical
CRIT-011,Load balancer misconfiguration,Traffic not being distributed correctly. Some servers overloaded while others idle. Service degraded.,Critical
CRIT-012,Cache invalidation bug,Stale cache serving incorrect prices to customers. Wrong amounts charged. Immediate rollback required.,Critical
CRIT-013,Third-party API integration down,Payment gateway API returning errors. Cannot process any transactions. Affects all customers globally.,Critical
CRIT-014,Service bus message loss,Critical messages being dropped from message queue. Orders not being processed. Customer notifications failing.,Critical
CRIT-015,Cron job not executing,Scheduled batch jobs not running. Daily reports not generated. End-of-day processing failing.,Critical
CRIT-016,File storage quota exceeded,Upload functionality broken due to storage quota. Users cannot upload documents. Blocking business operations.,Critical
CRIT-017,Email notification system down,Transactional emails not being sent. Users not receiving password resets or order confirmations.,Critical
CRIT-018,Search index corrupted,Search functionality returning no results. Users cannot find products. Conversion rate dropping significantly.,Critical
CRIT-019,Admin panel inaccessible,System administrators cannot access admin panel. Cannot manage users or content. Security risk.,Critical
CRIT-020,WebSocket connection failures,Real-time updates not working. Chat and notifications broken. User engagement severely impacted.,Critical
CRIT-021,CDN configuration error,Static assets not loading. Website completely broken. All assets returning 404 errors.,Critical
CRIT-022,Backup restoration failed,Disaster recovery test failed. Cannot restore from backups. Business continuity at risk.,Critical
CRIT-023,DNS resolution failure,Domain not resolving to server. Website completely inaccessible. Affecting all users worldwide.,Critical
CRIT-024,Session management broken,Users being logged out immediately. Cannot maintain login state. All user sessions affected.,Critical
CRIT-025,Rate limiting too aggressive,Legitimate users being blocked by rate limiter. Service effectively unusable for real users.,Critical
CRIT-026,Database migration failure,Schema migration corrupted table structure. Application cannot read data. Emergency rollback needed.,Critical
CRIT-027,Encryption key compromised,Encryption keys exposed in logs. All sensitive data potentially compromised. Need key rotation.,Critical
CRIT-028,Monitoring system alerts failing,No alerts being sent when services go down. Outages going unnoticed for hours.,Critical
CRIT-029,Container orchestration failure,Kubernetes pods not scheduling correctly. Services running on insufficient resources. Performance degraded.,Critical
CRIT-030,Code deployment broke authentication,Latest deployment broke login flow. No users can authenticate. Need immediate rollback.,Critical
CRIT-031,Database deadlock causing timeouts,Deadlocks causing request timeouts. Application unresponsive during peak hours.,Critical
CRIT-032,API rate limit not working,Rate limiting completely broken. Server overloaded by malicious bot traffic.,Critical
CRIT-033,File upload size limit too small,Users cannot upload files over 1MB. Business users need to upload larger documents.,Critical
CRIT-034,Background job queue stuck,All background jobs queued but not executing. Data processing completely halted.,Critical
CRIT-035,Timezone handling incorrect,All timestamps off by hours due to timezone bug. Reports contain wrong dates.,Critical
CRIT-036,Pagination returning duplicates,List endpoints returning duplicate records. Users seeing same items multiple times.,Critical
CRIT-037,Validation bypass vulnerability,Input validation not working. Malformed data entering system. Potential security issue.,Critical
CRIT-038,Mobile app sync broken,Mobile app cannot sync with server. Offline mode not working. User data lost.,Critical
CRIT-039,Webhook delivery failures,Third-party webhooks not being delivered. Integration partners complaining.,Critical
CRIT-040,SSO authentication loop,Users stuck in redirect loop during SSO login. Cannot access application.,Critical
CRIT-041,Report generation timeout,Large reports timing out. Business users cannot access important data.,Critical
CRIT-042,GraphQL query depth limit missing,Malicious queries causing server resource exhaustion. Need query complexity limits.,Critical
CRIT-043,Custom domain SSL not working,Custom domains showing certificate errors. Partner integrations broken.,Critical
CRIT-044,Push notification certificates expired,iOS and Android push notifications not working. User engagement down significantly.,Critical
CRIT-045,Database query plan caching bug,Query performance degrading over time. Need to restart database daily.,Critical
