project,title,description,story_points
XD,"""How do I make a job restartable in spring xd""","""""""The jobs that appear under Executions section of Jobs in spring xd admin ui, has restart button disabled. How do I enable this ?""""""",1
XD,"""admin config timezone command does not work""","""""""Working with Spring-XD version 1.3.2.RELEASE  Starting the server with {{xd-singlenode}} command, the following happens for the shell    How you can see the {{admin config timezone}} command shows {{Command 'admin config timezone' not found (for assistance press TAB)}}.  Seems a bug because in the previous output this command appears how a third valid option:   """"""",1
XD,"""Fix stream failover ""","""""""See https://github.com/spring-projects/spring-xd/issues/1924""""""",8
XD,"""SpringXD Job is still executing even after forceful Server shutdown""","""""""I'm trying to run a Job on SpringXD and the job has 7 steps, When I reach step 4 i'm shutting down the XD server. When I look into the Metadata of SpringXD I'm saving on OracleDB. I see that the Step 4 is in executing status and it will never change to failed. After restarting the server, I still see that the status of the Job is still executing and it never gets finished. If I launch the job it create a new job and the new one gets finished.  My config.xml for jdbc:      <jdbc:initialize-database data-source=""""""""dataSource""""""""                        enabled=""""""""false"""""""">         <jdbc:script location=""""""""org/springframework/batch/core/schema-oracle10g.sql"""""""" /> </jdbc:initialize-database>  From org/springframework/batch/core/schema-oracle10g.sql, I see that the sql queries are for creating a table. But when the tables are already existing, as i didn't drop them from my previous job. There was no error which said tables already exist. The new job got appended to previous existing table. HOW? How can I force the job to fail when the XD server suddenly goes down? How can I resume the same job that was stopped from the step where it stopped? Thank you :)""""""",5
XD,"""Duplicate entries in table XD_JOB_REGISTRY""","""""""Hello,  I have encountered following problem while using Spring XD in DIRT (distributed) mode. I have one xd-admin and two xd-containers, Redis as transportation, and SQL Server 2016 as the database. After deploying a job from UI to all available containers sometimes I get two same entries in table {{XD_JOB_REGISTRY}} for the job: !select.png!  As a result the JOBS -> Deployments page shows nothing but an error _Error fetching data. Is the XD server running_.  There is following exception in the xd-admin log:   ..because in {{DistributedJobLocator.java}} the query is expected to return exactly one record:   The code that adds a job in {{DistributedJobLocator.java}} seems to be susceptible to race conditions:   ...and there are no any unique constraints on the table columns: """"""",1
XD,"""Spring XD Dynamic Module ClassLoader Issue""","""""""According to the documentation we can load jars dynamically at module creation time by exploiting the attribute module.classloader in the .properties file :  http://docs.spring.io/spring-xd/docs/1.3.1.RELEASE/reference/html/#module-class-loading  I spent two days trying to test this feature. It does not work. The option module.classloader seems to be simply ignored  I did not find any string named module.classloader in the XD code. But I found another one called module.classpath in this class:  https://github.com/spring-projects/spring-xd/blob/master/spring-xd-module/src/main/java/org/springframework/xd/module/options/ModuleUtils.java  The code in the above class seems to match the documentation. But unfortunalletely it does not work too. My classes are not found and I get java.lang.ClassNotFoundException  I have module option named dir4jars where I put the jars to load at creation time (when I issue job create --name xx --defintion ..). It's a directory, and I have tested the following possibilities, with both module.classpath and module.classloader :    I need the dir4jars to be absolute and outside XD home.  What's the right option to use for this dynamic load? module.classpath or module.classloader ? Is't a bug in the documentation ?  How can I set an absolute directory as I mentioned above?  Many thanks.""""""",1
XD,"""java.util.concurrent.RejectedExecutionException in InetUtils.convertAddress""","""""""Hi,   We use spring config server 1.0.4-RELEASE with spring boot 1.2.5-RELEASE without any problems.  Now i update to spring boot 1.4.0.RELEASE and config 1.2.0.RELEASE.  Since then i have problems with the configserver. In the log you can see that the config server loads different configs. This is done from a start-script file to extract ports. This works fine.  then i start my spring boot app and at the same time i see these errors (RejectedExecutionException) see attachment.  Question: - is the config read from the configserver only read once at startup? - could there be a concurrent issue in the config server?  I have just tested spring boot 1.3.7 with config 1.2.0 and got the same problem. Did just another test: See ConfigServerLogV1.1.3_SpringBoot1.3.7.txt that has the same problem """"""",1
XD,"""SpringXD authenication and authorization using LDAP""","""""""Hi,  I'm using LDAP to a Windows Active Directory as the authentication method for SpringXD. But after the user is authenticated in the SpringXD, the user is not authorized to do anythin.  Based on the guides and the configuration files, it is unclear where the authorization rules for each user should be put, ROLE_VIEW, ROLE_CREATE, ROLE_ADMIN.  Can the SpringXD team guide me to where will the authorization rules be created? In SpringXD servers.yml file or in Active Directory?  Regards, Yew Wee  """"""",1
XD,"""Composed job endpoint is missing from the defined authorization rules""","""""""More details in the support ticket: https://issuetracker.springsource.com/browse/VESC-679  Following entires should be added to {{application.yml}} file.  """"""",1
XD,"""wordcount failed to run in cloudera VM 5.7""","""""""I download the spring XD example projects, and run through the steps acccording the README file for the project. I tried to change the hadoop-site.xml, server.yml and wordcount.xml files, but I failed get the . I am blocked by this issue. Thank you very much in advance for help. Best Regards.""""""",3
XD,"""Composed Modules Can't Have Duplicate Processors""","""""""  Produces {{2016-05-02 17:27:20aa}} - the first transform is applied twice. """"""",5
XD,"""Composed Module Child Module Validated Too Early""","""""""{{module compose foo --definition """"""""time --fixedDelay=5 | shell --command=my.sh""""""""}}    The problem stems from the fact that the options metadata validation is performed on the shell module before the property from the composed module is injected.  Disabling the validation annotations on the metadata avoids the problem.  """"""",5
